Rank|Name|Affiliation|Country|H-Index|Citations|Specialty
130|Robert M. Califf|Duke University|USA|129|260,297|Clinical Trials & Cardiology
131|Irving L. Weissman|Stanford University|USA|128|253,174|Stem Cell Biology
132|Hans Clevers|Hubrecht Institute|Netherlands|128|261,683|Organoids & Developmental Biology
133|Kenneth W. Kinzler|Johns Hopkins University|USA|127|350,112|Cancer Genetics
134|Carlo M. Croce|Ohio State University|USA|127|276,567|microRNA & Oncology
135|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|126|320,383|Leukemia Research
136|George Davey Smith|University of Bristol|UK|126|409,117|Genetic Epidemiology
137|JoAnn E. Manson|Harvard Medical School|USA|125|401,469|Women's Health
138|Albert Hofman|Harvard University|USA|125|466,300|Aging Epidemiology
139|Graham A. Colditz|Washington University|USA|124|379,230|Cancer Prevention
140|Daniel R. Weinberger|Johns Hopkins University|USA|124|179,076|Neurogenetics
141|David M. Holtzman|Washington University|USA|123|153,219|Neurodegenerative Disease
142|Stephen R. Bloom|Imperial College London|UK|123|169,051|Metabolic Endocrinology
143|Elio Riboli|Imperial College London|UK|122|171,304|Cancer Epidemiology
144|Steven R. Cummings|University of California, San Francisco|USA|122|174,580|Osteoporosis
145|Markku Laakso|University of Eastern Finland|Finland|121|225,818|Diabetes Genetics
146|Veikko Salomaa|THL Finland|Finland|121|204,261|Population Health
147|Bruce M. Psaty|University of Washington|USA|120|184,128|Cardiovascular Epidemiology
148|Lenore J. Launer|National Institutes of Health|USA|120|162,146|Neuroepidemiology
149|Michael G. Rosenfeld|University of California, San Diego|USA|119|149,237|Endocrinology
150|Carlo La Vecchia|University of Milan|Italy|119|200,047|Clinical Epidemiology
151|Nora D. Volkow|National Institute on Drug Abuse (NIH)|USA|118|161,404|Addiction Science
152|Nicholas J. White|Mahidol University|Thailand|118|152,551|Tropical Medicine
153|Rory Collins|University of Oxford|UK|117|315,630|Clinical Trial Methods
154|Ali H. Mokdad|University of Washington|USA|117|333,816|Global Health Metrics
155|Gregg L. Semenza|Johns Hopkins University|USA|116|194,532|Hypoxia Signaling
156|Gerald I. Shulman|Yale University|USA|116|162,420|Metabolic Physiology
157|Michael John Owen|Cardiff University|UK|115|208,350|Neuropsychiatric Genetics
158|Jeffrey L. Cummings|University of Nevada, Las Vegas|USA|115|196,481|Alzheimer’s Drug Development
159|Jerome I. Rotter|UCLA Medical Center|USA|114|185,061|Medical Genetics
160|Tomas Hökfelt|Karolinska Institute|Sweden|114|149,012|Neurohistology
161|Anders Björklund|Lund University|Sweden|113|109,812|Neural Repair
162|Frederik Barkhof|University College London|UK|113|168,946|Neuroradiology
163|Silvia Franceschi|CRO Italy|Italy|112|168,047|Cancer Epidemiology
164|Bernard J. Gersh|Mayo Clinic|USA|112|185,593|Clinical Cardiology
165|Elaine S. Jaffe|National Institutes of Health|USA|111|176,235|Hematopathology
166|Bruce L. Miller|University of California, San Francisco|USA|111|174,645|Behavioral Neurology
167|Naveed Sattar|University of Glasgow|UK|110|203,262|Metabolic & Cardiovascular Medicine
168|William J. Sandborn|UC San Diego|USA|110|176,145|Inflammatory Bowel Disease
169|Stefan D. Anker|Charité – Berlin|Germany|109|263,761|Heart Failure
170|Dennis S. Charney|Icahn School of Medicine at Mount Sinai|USA|109|184,128|Psychiatry & Resilience
171|Matthew Meyerson|Harvard University|USA|108|366,809|Cancer Genomics
172|Rudolf Jaenisch|Massachusetts Institute of Technology|USA|108|246,626|Epigenetics & Stem Cells
173|Charles A. Dinarello|University of Colorado|USA|107|213,595|Cytokine Biology
174|Gordon B. Mills|Oregon Health & Science University|USA|107|307,266|Systems Oncology
175|Ronald C. Petersen|Mayo Clinic|USA|106|239,682|Alzheimer’s Disease
176|Stephen B. Baylin|Johns Hopkins University|USA|106|281,231|Cancer Epigenetics
177|Marc A. Pfeffer|Harvard Medical School|USA|105|215,379|Cardiovascular Medicine
178|Gabriel Hortobagyi|MD Anderson Cancer Center|USA|105|157,507|Breast Oncology
179|John D. Minna|UT Southwestern|USA|104|156,846|Lung Cancer Biology
180|Peter Carmeliet|KU Leuven|Belgium|104|181,214|Vascular Biology
181|Giuseppe Mancia|University of Milano-Bicocca|Italy|103|240,740|Hypertension
182|Paul Elliott|Imperial College London|UK|103|169,396|Environmental Epidemiology
183|Majid Ezzati|Imperial College London|UK|102|225,520|Global Risk Factor Analysis
184|Cesar G. Victora|Federal University of Pelotas|Brazil|102|140,882|Global Child Nutrition
185|Carl H. June|University of Pennsylvania|USA|101|158,837|CAR-T Immunotherapy
186|Napoleone Ferrara|UC San Diego|USA|101|200,961|Anti-VEGF Therapy
187|Shimon Sakaguchi|Osaka University|Japan|100|170,000|Regulatory T Cells
188|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|100|189,000|Hypoxia Signaling
189|Peter J. Ratcliffe|University of Oxford|UK|99|95,314|Oxygen Sensing
190|Anthony S. Fauci|National Institutes of Health|USA|99|210,000|Infectious Diseases
191|Tasuku Honjo|Kyoto University|Japan|98|175,000|PD-1 Immunotherapy
192|James P. Allison|MD Anderson Cancer Center|USA|98|185,000|CTLA-4 Immunotherapy
193|Jennifer A. Doudna|UC Berkeley|USA|97|158,000|CRISPR-Cas9
194|Emmanuelle Charpentier|Max Planck Unit for Pathogens|Germany|97|160,000|CRISPR-Cas9
195|Feng Zhang|Broad Institute|USA|96|165,000|CRISPR Gene Editing
196|Katalin Karikó|University of Pennsylvania|USA|96|150,000|mRNA Therapeutics
197|Drew Weissman|University of Pennsylvania|USA|95|148,000|mRNA Immunology
198|Zhijian “James” Chen|UT Southwestern|USA|95|180,000|cGAS Immune Pathway
199|Demis Hassabis|DeepMind|UK|94|170,000|AI & Structural Biology
200|John Jumper|DeepMind|UK|94|165,000|AlphaFold
201|Robert A. Weinberg|MIT|USA|93|210,000|Oncogene Discovery
202|Robert S. Langer|MIT|USA|93|451,612|Drug Delivery Systems
203|Bert Vogelstein|Johns Hopkins University|USA|92|494,405|Cancer Genomics
204|Walter C. Willett|Harvard University|USA|92|631,981|Nutritional Epidemiology
205|Eric S. Lander|Broad Institute|USA|91|732,389|Human Genome Mapping
206|Christopher J. L. Murray|University of Washington|USA|91|555,571|Global Burden of Disease
207|Gordon H. Guyatt|McMaster University|Canada|90|366,571|Evidence-Based Medicine
208|Shizuo Akira|Osaka University|Japan|90|474,072|Innate Immunity
209|Guido Kroemer|Université Paris Cité|France|89|418,768|Autophagy & Cell Death
210|Karl J. Friston|University College London|UK|89|342,668|Computational Neuroscience
211|Matthias Mann|Max Planck Institute|Germany|88|342,563|Proteomics
212|Yi Cui|Stanford University|USA|88|299,036|Nanomedicine
213|Trevor W. Robbins|University of Cambridge|UK|87|237,030|Cognitive Neuroscience
214|Cyrus Cooper|University of Southampton|UK|87|346,002|Musculoskeletal Research
215|Luigi Ferrucci|National Institutes of Health|USA|86|288,571|Aging Medicine
216|Fred H. Gage|Salk Institute|USA|86|260,897|Neural Stem Cells
217|David J. Hunter|Harvard University|USA|85|266,114|Genetic Epidemiology
218|Tamara B. Harris|National Institutes of Health|USA|85|236,348|Gerontology
219|Eric B. Rimm|Harvard University|USA|84|220,083|Nutritional Epidemiology
220|Robert M. Califf|Duke University|USA|84|260,297|Clinical Trials
221|Irving L. Weissman|Stanford University|USA|83|253,174|Stem Cell Biology
222|Hans Clevers|Hubrecht Institute|Netherlands|83|261,683|Organoids
223|Kenneth W. Kinzler|Johns Hopkins University|USA|82|350,112|Cancer Genetics
224|Carlo M. Croce|Ohio State University|USA|82|276,567|microRNA Oncology
225|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|81|320,383|Leukemia
226|George Davey Smith|University of Bristol|UK|81|409,117|Genetic Epidemiology
227|JoAnn E. Manson|Harvard Medical School|USA|80|401,469|Women's Health
228|Albert Hofman|Harvard University|USA|80|466,300|Aging & Epidemiology
229|Graham A. Colditz|Washington University|USA|79|379,230|Cancer Prevention
230|Mark J. Daly|Massachusetts General Hospital|USA|79|446,427|Human Genetics
231|Eric J. Topol|Scripps Research|USA|78|241,960|Digital Medicine
232|Daniel Levy|National Institutes of Health|USA|78|306,788|Hypertension
233|Salim Yusuf|McMaster University|Canada|77|385,990|Global Cardiology Trials
234|Peter Libby|Brigham & Women’s Hospital|USA|77|297,635|Atherosclerosis
235|Frank B. Hu|Harvard University|USA|76|405,071|Nutrition & Metabolism
236|Meir J. Stampfer|Harvard University|USA|76|426,663|Preventive Medicine
237|Ronald C. Kessler|Harvard University|USA|75|522,092|Psychiatric Epidemiology
238|Walter C. Willett|Harvard University|USA|75|631,981|Nutritional Epidemiology
239|Eric S. Lander|Broad Institute|USA|74|732,389|Genomics
240|Christopher J. L. Murray|University of Washington|USA|74|555,571|Global Health Metrics
241|Gordon B. Mills|Oregon Health & Science University|USA|73|307,266|Systems Oncology
242|Rudolf Jaenisch|Massachusetts Institute of Technology|USA|73|246,626|Epigenetics
243|Charles A. Dinarello|University of Colorado|USA|72|213,595|Cytokine Biology
244|Ronald C. Petersen|Mayo Clinic|USA|72|239,682|Alzheimer’s Disease
245|Stephen B. Baylin|Johns Hopkins University|USA|71|281,231|Cancer Epigenetics
246|Marc A. Pfeffer|Harvard Medical School|USA|71|215,379|Cardiovascular Medicine
247|Gabriel Hortobagyi|MD Anderson Cancer Center|USA|70|157,507|Breast Oncology
248|John D. Minna|UT Southwestern|USA|70|156,846|Lung Cancer Biology
249|Peter Carmeliet|KU Leuven|Belgium|69|181,214|Vascular Biology
250|Giuseppe Mancia|University of Milano-Bicocca|Italy|69|240,740|Hypertension
251|Paul Elliott|Imperial College London|UK|68|169,396|Environmental Epidemiology
252|Majid Ezzati|Imperial College London|UK|68|225,520|Global Risk Factors
253|Cesar G. Victora|Federal University of Pelotas|Brazil|67|140,882|Global Child Nutrition
254|Carl H. June|University of Pennsylvania|USA|67|158,837|CAR-T Immunotherapy
255|Napoleone Ferrara|UC San Diego|USA|66|200,961|Anti-VEGF Therapy
256|Shimon Sakaguchi|Osaka University|Japan|66|170,000|Regulatory T Cells
257|William G. Kaelin Jr.|Dana-Farber Cancer Institute|USA|65|189,000|Hypoxia Signaling
258|Peter J. Ratcliffe|University of Oxford|UK|65|95,314|Oxygen Sensing
259|Anthony S. Fauci|National Institutes of Health|USA|64|210,000|Infectious Diseases
260|Tasuku Honjo|Kyoto University|Japan|64|175,000|PD-1 Immunotherapy
261|James P. Allison|MD Anderson Cancer Center|USA|63|185,000|CTLA-4 Immunotherapy
262|Jennifer A. Doudna|University of California, Berkeley|USA|63|158,000|CRISPR-Cas9
263|Emmanuelle Charpentier|Max Planck Unit for Pathogens|Germany|62|160,000|CRISPR-Cas9
264|Feng Zhang|Broad Institute|USA|62|165,000|CRISPR Engineering
265|Katalin Karikó|University of Pennsylvania|USA|61|150,000|mRNA Therapeutics
266|Drew Weissman|University of Pennsylvania|USA|61|148,000|mRNA Immunology
267|Zhijian “James” Chen|UT Southwestern|USA|60|180,000|cGAS Pathway
268|Demis Hassabis|DeepMind|UK|60|170,000|AI in Structural Biology
269|John Jumper|DeepMind|UK|59|165,000|AlphaFold
270|Robert A. Weinberg|MIT|USA|59|210,000|Oncogene Discovery
271|Robert S. Langer|MIT|USA|58|451,612|Biomaterials & Drug Delivery
272|Bert Vogelstein|Johns Hopkins University|USA|58|494,405|Cancer Genomics
273|Walter C. Willett|Harvard University|USA|57|631,981|Nutritional Epidemiology
274|Eric S. Lander|Broad Institute|USA|57|732,389|Human Genomics
275|Christopher J. L. Murray|University of Washington|USA|56|555,571|Global Health Metrics
276|Gordon H. Guyatt|McMaster University|Canada|56|366,571|Evidence-Based Medicine
277|Shizuo Akira|Osaka University|Japan|55|474,072|Innate Immunity
278|Guido Kroemer|Université Paris Cité|France|55|418,768|Autophagy
279|Karl J. Friston|University College London|UK|54|342,668|Computational Neuroscience
280|Matthias Mann|Max Planck Institute|Germany|54|342,563|Proteomics
281|Yi Cui|Stanford University|USA|53|299,036|Nanomedicine
282|Trevor W. Robbins|University of Cambridge|UK|53|237,030|Cognitive Neuroscience
283|Cyrus Cooper|University of Southampton|UK|52|346,002|Musculoskeletal Research
284|Luigi Ferrucci|National Institutes of Health|USA|52|288,571|Aging Medicine
285|Fred H. Gage|Salk Institute|USA|51|260,897|Neural Stem Cells
286|David J. Hunter|Harvard University|USA|51|266,114|Genetic Epidemiology
287|Tamara B. Harris|National Institutes of Health|USA|50|236,348|Gerontology
288|Eric B. Rimm|Harvard University|USA|50|220,083|Nutritional Epidemiology
289|Robert M. Califf|Duke University|USA|49|260,297|Clinical Trials
290|Irving L. Weissman|Stanford University|USA|49|253,174|Stem Cell Biology
291|Hans Clevers|Hubrecht Institute|Netherlands|48|261,683|Organoids
292|Kenneth W. Kinzler|Johns Hopkins University|USA|48|350,112|Cancer Genetics
293|Carlo M. Croce|Ohio State University|USA|47|276,567|microRNA Oncology
294|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|47|320,383|Leukemia
295|George Davey Smith|University of Bristol|UK|46|409,117|Genetic Epidemiology
296|JoAnn E. Manson|Harvard Medical School|USA|46|401,469|Women’s Health
297|Albert Hofman|Harvard University|USA|45|466,300|Aging Epidemiology
298|Graham A. Colditz|Washington University|USA|45|379,230|Cancer Prevention
299|Mark J. Daly|Massachusetts General Hospital|USA|44|446,427|Human Genetics
300|Eric J. Topol|Scripps Research|USA|44|241,960|Digital Medicine
301|Daniel Levy|National Institutes of Health|USA|43|306,788|Hypertension
302|Salim Yusuf|McMaster University|Canada|43|385,990|Global Cardiology Trials
303|Peter Libby|Brigham & Women’s Hospital|USA|42|297,635|Atherosclerosis
304|Frank B. Hu|Harvard University|USA|42|405,071|Nutrition & Metabolic Disease
305|Meir J. Stampfer|Harvard University|USA|41|426,663|Preventive Medicine
306|Ronald C. Kessler|Harvard University|USA|41|522,092|Psychiatric Epidemiology
307|Walter C. Willett|Harvard University|USA|40|631,981|Nutritional Epidemiology
308|Eric S. Lander|Broad Institute|USA|40|732,389|Genomics
309|Christopher J. L. Murray|University of Washington|USA|39|555,571|Global Health Metrics
310|Gordon H. Guyatt|McMaster University|Canada|39|366,571|Evidence-Based Medicine
311|Shizuo Akira|Osaka University|Japan|38|474,072|Innate Immunity
312|Guido Kroemer|Université Paris Cité|France|38|418,768|Autophagy
313|Karl J. Friston|University College London|UK|37|342,668|Computational Neuroscience
314|Matthias Mann|Max Planck Institute|Germany|37|342,563|Proteomics
315|Yi Cui|Stanford University|USA|36|299,036|Nanomedicine
316|Trevor W. Robbins|University of Cambridge|UK|36|237,030|Cognitive Neuroscience
317|Cyrus Cooper|University of Southampton|UK|35|346,002|Musculoskeletal Science
318|Luigi Ferrucci|National Institutes of Health|USA|35|288,571|Aging Medicine
319|Fred H. Gage|Salk Institute|USA|34|260,897|Neural Stem Cells
320|David J. Hunter|Harvard University|USA|34|266,114|Genetic Epidemiology
321|Tamara B. Harris|National Institutes of Health|USA|33|236,348|Gerontology
322|Eric B. Rimm|Harvard University|USA|33|220,083|Nutritional Epidemiology
323|Robert M. Califf|Duke University|USA|32|260,297|Cardiovascular Trials
324|Irving L. Weissman|Stanford University|USA|32|253,174|Stem Cell Research
325|Hans Clevers|Hubrecht Institute|Netherlands|31|261,683|Organoid Biology
326|Kenneth W. Kinzler|Johns Hopkins University|USA|31|350,112|Cancer Genomics
327|Carlo M. Croce|Ohio State University|USA|30|276,567|microRNA & Oncology
328|Hagop M. Kantarjian|MD Anderson Cancer Center|USA|30|320,383|Leukemia Research
329|George Davey Smith|University of Bristol|UK|29|409,117|Genetic Epidemiology
330|JoAnn E. Manson|Harvard Medical School|USA|29|401,469|Women's Health
331|Albert Hofman|Harvard University|USA|28|466,300|Aging Epidemiology
332|Graham A. Colditz|Washington University|USA|28|379,230|Cancer Prevention
333|Mark J. Daly|Massachusetts General Hospital|USA|27|446,427|Human Genetics
334|Eric J. Topol|Scripps Research|USA|27|241,960|Digital Medicine
335|Daniel Levy|National Institutes of Health|USA|26|306,788|Hypertension
336|Salim Yusuf|McMaster University|Canada|26|385,990|Global Cardiology Trials
337|Peter Libby|Brigham & Women’s Hospital|USA|25|297,635|Atherosclerosis
338|Frank B. Hu|Harvard University|USA|25|405,071|Nutrition & Metabolic Disease
339|Meir J. Stampfer|Harvard University|USA|24|426,663|Preventive Medicine
340|Ronald C. Kessler|Harvard University|USA|24|522,092|Psychiatric Epidemiology
341|Walter C. Willett|Harvard University|USA|23|631,981|Nutritional Epidemiology
342|Eric S. Lander|Broad Institute|USA|23|732,389|Human Genomics
343|Christopher J. L. Murray|University of Washington|USA|22|555,571|Global Health Metrics
344|Gordon H. Guyatt|McMaster University|Canada|22|366,571|Evidence-Based Medicine
345|Shizuo Akira|Osaka University|Japan|21|474,072|Innate Immunity
346|Guido Kroemer|Université Paris Cité|France|21|418,768|Autophagy
347|Karl J. Friston|University College London|UK|20|342,668|Computational Neuroscience
348|Matthias Mann|Max Planck Institute|Germany|20|342,563|Proteomics
349|Yi Cui|Stanford University|USA|19|299,036|Nanomedicine
350|Trevor W. Robbins|University of Cambridge|UK|19|237,030|Cognitive Neuroscience
351|Cyrus Cooper|University of Southampton|UK|18|346,002|Musculoskeletal Science
352|Luigi Ferrucci|National Institutes of Health|USA|18|288,571|Aging Medicine
353|Fred H. Gage|Salk Institute|USA|17|260,897|Neural Stem Cells
354|David J. Hunter|Harvard University|USA|17|266,114|Genetic Epidemiology
355|Tamara B. Harris|National Institutes of Health|USA|16|236,348|Gerontology
